Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2020/07/01,12:04 AM,13.22,8.89,75.0,South,0.97,11.26,1014.56,0.0,0.0,NA,2.0
2020/07/01,12:09 AM,13.22,8.89,75.0,South,2.9,9.65,1014.56,0.0,0.0,NA,2.0
2020/07/01,12:14 AM,13.17,8.83,75.0,SSW,0.97,11.26,1014.56,0.0,0.0,NA,2.0
2020/07/01,12:19 AM,13.17,8.83,75.0,SSE,0.97,8.69,1014.56,0.0,0.0,NA,2.0
2020/07/01,12:24 AM,13.17,8.83,75.0,SSW,4.18,14.48,1014.22,0.0,0.0,NA,2.0
2020/07/01,12:29 AM,13.17,8.83,75.0,South,1.61,10.3,1014.56,0.0,0.0,NA,2.0
2020/07/01,12:34 AM,13.17,8.83,75.0,South,1.29,7.4,1014.56,0.0,0.0,NA,2.0
2020/07/01,12:39 AM,13.11,8.83,75.0,SSW,1.29,7.08,1014.22,0.0,0.0,NA,2.0
2020/07/01,12:44 AM,13.06,8.83,75.0,South,3.54,14.16,1014.22,0.0,0.0,NA,2.0
2020/07/01,12:49 AM,13.06,8.94,76.0,South,1.61,12.23,1014.22,0.0,0.0,NA,2.0
2020/07/01,12:54 AM,13.06,8.94,76.0,SSW,0.97,13.19,1014.22,0.0,0.0,NA,2.0
2020/07/01,12:59 AM,13.06,8.89,76.0,South,2.9,7.4,1014.22,0.0,0.0,NA,2.0
2020/07/01,01:04 AM,13.06,8.89,76.0,South,2.9,10.94,1014.22,0.0,0.0,NA,2.0
2020/07/01,01:09 AM,13.06,9.0,77.0,SSW,0.97,6.44,1014.22,0.0,0.0,NA,2.0
2020/07/01,01:14 AM,13.06,9.11,77.0,South,1.29,7.08,1014.22,0.0,0.0,NA,2.0
2020/07/01,01:19 AM,13.06,9.11,77.0,SSW,5.15,11.58,1014.22,0.0,0.0,NA,2.0
2020/07/01,01:24 AM,13.0,9.06,77.0,South,0.0,7.72,1014.22,0.0,0.0,NA,2.0
2020/07/01,01:29 AM,13.0,9.06,77.0,South,0.64,9.01,1014.22,0.0,0.0,NA,2.0
2020/07/01,01:34 AM,13.0,9.06,77.0,South,1.61,6.76,1014.22,0.0,0.0,NA,2.0
2020/07/01,01:39 AM,13.0,9.06,77.0,SSW,1.93,9.98,1014.22,0.0,0.0,NA,2.0
2020/07/01,01:44 AM,12.94,8.94,77.0,South,5.47,17.38,1014.22,0.0,0.0,NA,2.0
2020/07/01,01:49 AM,12.94,8.83,76.0,South,3.54,12.87,1014.22,0.0,0.0,NA,2.0
2020/07/01,01:54 AM,12.89,8.83,76.0,South,8.04,18.99,1014.22,0.0,0.0,NA,2.0
2020/07/01,01:59 AM,12.89,8.94,77.0,South,2.9,15.45,1014.22,0.0,0.0,NA,2.0
